subject	session	task	run	raw_file	sfreq	token1	token2	behavior_source	behavior_source_path	behavioral_codes_total	behavioral_codes_used	behavioral_keep_codes	markers_original	markers_dropped_by_gap	markers_dropped_by_auto	trigger_burst_flag	trigger_n_short_iti	trigger_min_iti_s	trigger_burst_max_in_window	trigger_burst_n_windows_ge_thresh	trigger_burst_params	blink_threshold_uv_used	blink_auto_percentile	volt_pos_uv_used	volt_neg_uv_used	volt_ptp_threshold_uv_used	volt_auto_percentile	volt_method	n_events_used	n_events_kept_stddev	n_epochs_before_artifact	n_blink_bad	n_muscle_bad	n_epochs_dropped	n_epochs_final	n_standard_final	n_deviant_final	epoch_reject_rate	eog_corr_max	eog_corr_mean	blink_rate_per_min	blink_proxy_rate_per_min	blink_source	ica_recommended	ica_recommend_reason	ica_mode	ica_ran	ica_applied	ica_exclude	review_flag	review_reasons	status	error	t_preprocess_s	t_ica_s	t_epoching_s	t_metrics_s	t_io_s
sub-1001		AuditoryOddball		sub-1001/eeg/sub-1001_task-AuditoryOddball_eeg.set	500.0	token1	token2	bids_events	BUILD_DIR/ds007069/sub-1001/eeg/sub-1001_task-AuditoryOddball_events.tsv	1001	985	70 80	1002	0	0	False	0	0.5899999999999181	1	0	min_iti_s=0.02,win_s=0.25,count=5	468.3593750000004	99.0	177.83997520967284	-177.83997520967284		97.5	simple	985	985	985	10	25	32	953	760	193	0.03248730964467	0.2347486875288093	0.0601308212190304	1.419488392725122		eog:HEOG R	False		auto	False	False		False		OK		2.8908	0.9642	0.2622	3.1784	1.0222
sub-1002		AuditoryOddball		sub-1002/eeg/sub-1002_task-AuditoryOddball_eeg.set	500.0	token1	token2	bids_events	BUILD_DIR/ds007069/sub-1002/eeg/sub-1002_task-AuditoryOddball_events.tsv	1002	985	70 80	1003	0	0	False	0	0.5999999999999659	1	0	min_iti_s=0.02,win_s=0.25,count=5	3779.890624999998	99.0	239.5561434238033	-239.5561434238033		97.5	simple	985	985	985	10	25	35	950	754	196	0.0355329949238578	0.1147887754830103	0.0351784653909834	6.83285882924797		eog:HEOG R	False		auto	False	False		False		OK		1.617	0.2481	0.4055	3.1531	0.8716
